,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
0,3MINDIA,23108.0,,,,,DownTrend,,,,,,,,
1,AARTIDRUGS,460.0,,,,,DownTrend,,,,,Yes,,,
2,AAVAS,1890.0,,,,,DownTrend,Yes,,,,,,,
3,ABB,2975.0,,,,,DownTrend,,,,,,,,
4,ABBOTINDIA,20059.0,,,,,DownTrend,Yes,,,,,Yes,,
5,ABCAPITAL,158.0,,,,,UpTrend,,Yes,1008,,Yes,,,
6,ABFRL,315.0,,,,,DownTrend,,,,,,Yes,,
7,ABSLAMC,438.0,,,,,DownTrend,,Yes,,,,Yes,,
8,ACC,2621.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
9,ACCELYA,1687.0,,,,,DownTrend,Yes,,,,,Yes,,
10,ACE,332.0,,,,,DownTrend,Yes,,,,,Yes,,
11,ADANIENT,3930.0,,,,,DownTrend,,,,Yes,,Yes,,
12,ADANIGREEN,2042.0,,,,,DownTrend,Yes,,,,,,,
13,ADANIPORTS,893.0,,,,,DownTrend,,,,,,Yes,,
14,ADANITRANS,2716.0,,,,,DownTrend,Yes,,,,,,,
15,ADVENZYMES,307.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,Yes wait for breakout of resistance => 307.1499938964844
16,AEGISCHEM,329.0,,,,,DownTrend,Yes,,,,,Yes,,
17,AETHER,911.0,,,,,DownTrend,Yes,,,,,,,
18,AFFLE,1231.0,,,,,DownTrend,Yes,,,,,,,
19,AGI,321.0,,,,Yes,UpTrend,,Yes,,Yes,Yes,,,
20,AHLUCONT,439.0,,,,,DownTrend,,,,Yes,,Yes,,
21,AIAENG,2750.0,,,,,UpTrend,Yes,,,,,Yes,,
22,AJANTPHARM,1259.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
23,AKZOINDIA,2302.0,,,,,DownTrend,,,,,,,,
24,ALEMBICLTD,78.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
25,ALKEM,3119.0,,,,,UpTrend,,,,,,Yes,,
26,ALKYLAMINE,2798.0,,,,,UpTrend,,,,,,Yes,,
27,ALLCARGO,425.0,,,,,DownTrend,Yes,,,,,,,
28,ALOKINDS,16.0,,,,,DownTrend,Yes,,,,,Yes,,
29,AMARAJABAT,659.0,,,,,DownTrend,,Yes,252,,,Yes,,
30,AMBER,2048.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
31,AMBUJACEM,573.0,,,,,DownTrend,,,,,,Yes,,
32,AMIORG,989.0,,,,,DownTrend,Yes,,,,,Yes,,
33,AMRUTANJAN,706.0,,,,,DownTrend,,,,,,,,
34,ANANDRATHI,707.0,,,,,DownTrend,,,,,Yes,,,
35,ANANTRAJ,101.0,,,,,DownTrend,Yes,,,,,,,
36,ANDHRSUGAR,137.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
37,ANGELONE,1541.0,,,,,UpTrend,Yes,,,,Yes,,,
38,ANURAS,719.0,,,,,DownTrend,,,,,,,,
39,APARINDS,1565.0,,,,,DownTrend,Yes,,,,,Yes,,
40,APCOTEXIND,485.0,,,,,DownTrend,,,,,,,,
41,APLAPOLLO,1142.0,,,,,DownTrend,Yes,,,,Yes,,,
42,APLLTD,596.0,,,,,DownTrend,Yes,,,,,,,
43,APOLLOHOSP,4778.0,,,,,DownTrend,Yes,,,,,Yes,,
44,APOLLOPIPE,513.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
45,APOLLOTYRE,318.0,,,,,DownTrend,Yes,,,,,Yes,,
46,APTUS,312.0,,,,,DownTrend,,,,,,,,
47,ARVIND,101.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
