,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
0,ABCAPITAL,2494098.0,149.0,No,No,No,Yes,,,,,,,,
1,ABFRL,1009796.0,279.0,No,No,No,Yes,,,,,,Yes,,
2,ACE,489136.0,317.0,No,No,No,Yes,,,,Yes,63,,,Yes
3,ADANIENT,996830.0,3829.0,Yes,Yes,No,Yes,,,,,,,,
4,ADANIGREEN,803031.0,1860.0,Yes,No,No,Yes,,,,,,,,
5,ADANIPORTS,3116623.0,819.0,No,No,No,Yes,,,,,,,,
6,ADANITRANS,567075.0,2554.0,Yes,No,No,Yes,,,,,,,,
7,AEGISCHEM,305441.0,342.0,No,Yes,No,Yes,,,,,,,,
8,ALOKINDS,1287356.0,15.0,No,No,No,Yes,,,,,,,,
9,AMARAJABAT,391589.0,575.0,No,Yes,No,Yes,,,,,,,,
10,AMBUJACEM,3164776.0,524.0,No,Yes,No,Yes,,,,,,,,
11,ANANTRAJ,4250433.0,113.0,No,No,No,,Yes,21,,Yes,63,,,Yes
12,APOLLOTYRE,11847080.0,338.0,No,No,Yes,,Yes,,Yes,,63,,,
13,ARVIND,1394893.0,85.0,No,No,No,Yes,,,,Yes,,Yes,,
14,ASHOKA,577119.0,87.0,No,No,No,Yes,,,,Yes,,,,
15,ASHOKLEY,9357817.0,148.0,No,No,No,Yes,,,,Yes,,,,
16,ASIANPAINT,1113808.0,3004.0,No,No,No,,,,,Yes,,Yes,,
17,ASTRAMICRO,292660.0,281.0,No,No,No,Yes,,,,Yes,,,,
18,AUBANK,1987534.0,636.0,No,No,Yes,Yes,,,,Yes,,,,
19,AUROPHARMA,780475.0,443.0,No,No,No,,,,,Yes,,,,
20,AWL,1612997.0,573.0,No,No,No,Yes,,,,,,,,
21,AXISBANK,6998647.0,949.0,No,Yes,Yes,Yes,,,Yes,,,,,
22,BAJAJFINSV,5977371.0,1468.0,No,No,No,Yes,,,,Yes,,Yes,,
23,BAJAJHIND,7130848.0,16.0,No,No,No,Yes,,,,,,,,
24,BAJFINANCE,5100585.0,6100.0,No,No,No,Yes,,,,Yes,,Yes,,
25,BALRAMCHIN,1444648.0,389.0,No,No,Yes,Yes,,,,,,,,
26,BANDHANBNK,8342981.0,240.0,No,No,No,Yes,,,Yes,,,,,
27,BANKBARODA,21072038.0,184.0,No,No,No,Yes,,,,Yes,,,,
28,BANKINDIA,23247791.0,94.0,No,No,No,,Yes,,,Yes,,,,
29,BCG,5868782.0,28.0,No,No,No,Yes,,,,,,Yes,,
30,BDL,470528.0,939.0,Yes,Yes,No,Yes,,,,Yes,,,,
31,BEL,10445284.0,99.0,No,No,No,,,,,,,,,
32,BEPL,1190772.0,121.0,No,No,No,Yes,,,Yes,,,,,
33,BHARATFORG,1021532.0,879.0,No,Yes,Yes,Yes,,,,Yes,,,,
34,BHARTIARTL,5297216.0,807.0,No,Yes,No,,,,,Yes,,,,
