,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
0,ABCAPITAL,2494098.0,149.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,Yes,,
1,ABFRL,1009796.0,279.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,CMO less than -25 Sell Signal 
2,ACE,489136.0,317.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,Yes,,Yes,,,63,,,,CMO greater than 25 Buy Signal 
3,ADANIENT,996830.0,3829.0,,,,,,Yes,Yes,No,No,DownTrend,Yes,,,,,,,,,,Yes,,
4,ADANIGREEN,803031.0,1860.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
5,ADANIPORTS,3116623.0,819.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
6,ADANITRANS,567075.0,2554.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,
7,AEGISCHEM,305441.0,342.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,
8,ALOKINDS,1287356.0,15.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
9,AMARAJABAT,391589.0,575.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
10,AMBUJACEM,3164776.0,524.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,Yes,,
11,ANANTRAJ,4250433.0,113.0,,,,,,No,No,No,Yes,DownTrend,,Yes,21,Yes,,Yes,,,63,,,,CMO > 25 and < 30 Strong Buy Signal => 27.93427688291583
12,APOLLOTYRE,11847080.0,338.0,,,,,,No,No,Yes,No,DownTrend,,Yes,,,Yes,,,,63,,Yes,,CMO greater than 25 Buy Signal 
13,ARVIND,1394893.0,85.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,
14,ASHOKA,577119.0,87.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 25.333333333333332
15,ASHOKLEY,9357817.0,148.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 26.200915262278347
16,ASIANPAINT,1113808.0,3004.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
17,ASTRAMICRO,292660.0,281.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
18,AUBANK,1987534.0,636.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
19,AUROPHARMA,780475.0,443.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,
20,AWL,1612997.0,573.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
21,AXISBANK,6998647.0,949.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,Yes,,,,,,,False,CMO greater than 25 Buy Signal 
22,BAJAJFINSV,5977371.0,1468.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
23,BAJAJHIND,7130848.0,16.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
24,BAJFINANCE,5100585.0,6100.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,CMO less than -25 Sell Signal 
25,BALRAMCHIN,1444648.0,389.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,,,,Yes,,
26,BANDHANBNK,8342981.0,240.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 27.646134873258013
27,BANKBARODA,21072038.0,184.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,
28,BANKINDIA,23247791.0,94.0,,,,,,No,No,No,No,UpTrend,,Yes,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
29,BCG,5868782.0,28.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,
30,BDL,470528.0,939.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
31,BEL,10445284.0,99.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,Yes,,
32,BEPL,1190772.0,121.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
33,BHARATFORG,1021532.0,879.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,Yes,"Yes 
 Irresptive of candle (green/red) 
 exit on crossing downward 10 EMA middle line 
",
34,BHARTIARTL,5297216.0,807.0,,,,,,No,Yes,No,No,DownTrend,,,,,,Yes,,,,,,,
35,BHEL,32798287.0,81.0,,,,,,No,No,No,No,DownTrend,Yes,,,,Yes,,,,,,Yes,,
36,BIOCON,1260492.0,260.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,CMO less than -25 Sell Signal 
37,BLS,456577.0,170.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,Yes,,,
