,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
0,3MINDIA,23086.0,,,,,DownTrend,,,,,,,,
1,AARTIDRUGS,460.0,,,,,DownTrend,,,,Yes,Yes,,,
2,AAVAS,1878.0,,,,,DownTrend,,,,,,,,
3,ABB,2944.0,,,,,DownTrend,Yes,,,,,,,
4,ABBOTINDIA,20196.0,,,,,DownTrend,Yes,,,,,Yes,,
5,ABCAPITAL,158.0,,,,,UpTrend,Yes,,,,Yes,,,
6,ABFRL,311.0,,,,,DownTrend,,,,,,,,
7,ABSLAMC,432.0,,,,,DownTrend,,,,,,Yes,,
8,ACC,2621.0,,,,,UpTrend,,Yes,21,Yes,Yes,,,
9,ACCELYA,1618.0,,,,,DownTrend,Yes,,,,,Yes,,
10,ACE,339.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
11,ADANIENT,4031.0,,,,,UpTrend,,,,Yes,Yes,,,
12,ADANIGREEN,2063.0,,,,,DownTrend,Yes,,,,,Yes,,
13,ADANIPORTS,896.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
14,ADANITRANS,2773.0,,,,,DownTrend,Yes,,,,,,,
15,ADVENZYMES,315.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
16,AEGISCHEM,323.0,,,,,UpTrend,Yes,,,,,,,
17,AETHER,913.0,,,,,DownTrend,Yes,,,Yes,,,,
18,AFFLE,1217.0,,,,,DownTrend,Yes,,,,,,,
19,AGI,316.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
20,AHLUCONT,452.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,Yes wait for breakout of resistance => 452.79998779296875
21,AIAENG,2781.0,,,,,DownTrend,,Yes,,,,Yes,,
22,AJANTPHARM,1235.0,,,,,DownTrend,,,,,,Yes,,
23,AKZOINDIA,2301.0,,,,,DownTrend,,,,,,,,
24,ALEMBICLTD,77.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
25,ALKEM,3101.0,,,,,DownTrend,,,,,,,,
26,ALKYLAMINE,2817.0,,,,,DownTrend,,,,,,,,
27,ALLCARGO,419.0,,,,,DownTrend,Yes,,,,,,,
28,ALOKINDS,15.0,,,,,DownTrend,Yes,,,,,,,
29,AMARAJABAT,660.0,,,,,DownTrend,,Yes,252,,,Yes,,
30,AMBER,2020.0,,,,,DownTrend,Yes,,,,,Yes,,
31,AMBUJACEM,581.0,,,,,DownTrend,,Yes,,,Yes,,,
32,AMIORG,968.0,,,,,DownTrend,Yes,,,,Yes,,,
33,AMRUTANJAN,703.0,,,,,DownTrend,,,,,,Yes,,
34,ANANDRATHI,708.0,,,,,DownTrend,,,,,,Yes,,
35,ANANTRAJ,100.0,,,,,DownTrend,Yes,,,,,,,
36,ANDHRSUGAR,138.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
37,ANGELONE,1567.0,,,,,DownTrend,Yes,,,,,Yes,,
38,ANURAS,719.0,,,,,DownTrend,,,,,,,,
39,APARINDS,1613.0,,,,,DownTrend,,Yes,,,Yes,,,
40,APCOTEXIND,498.0,,,,,DownTrend,,Yes,,,Yes,,,
41,APLAPOLLO,1115.0,,,,,DownTrend,Yes,,,,Yes,,,
42,APLLTD,590.0,,,,,DownTrend,Yes,,,,,,,
43,APOLLOHOSP,4788.0,,,,,DownTrend,Yes,,,,,Yes,,
44,APOLLOPIPE,503.0,,,,,DownTrend,Yes,,,,,Yes,,
45,APOLLOTYRE,319.0,,,,,UpTrend,,,,,,Yes,,
46,APTUS,306.0,,,,,DownTrend,Yes,,,,,Yes,,
47,ARVIND,101.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
48,ARVINDFASN,340.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
49,ASAHIINDIA,606.0,,,,,DownTrend,,,,,,,,
50,ASHOKA,80.0,,,,,DownTrend,Yes,,,,,Yes,,
51,ASHOKLEY,145.0,,,,,DownTrend,,,,,,,,
52,ASIANPAINT,3161.0,,,,,DownTrend,,,,Yes,Yes,,,
53,ASTEC,1933.0,,,,,DownTrend,Yes,,,,,Yes,,
54,ASTERDM,227.0,,,,,DownTrend,Yes,,,,,,,
55,ASTRAL,2034.0,,,,,DownTrend,Yes,,,,,Yes,,
56,ASTRAMICRO,321.0,,,,,DownTrend,Yes,,,,Yes,,,Yes wait for breakout of resistance => 321.79998779296875
57,ASTRAZEN,3325.0,,,,,DownTrend,,,,Yes,,,,
58,ATGL,3696.0,,,,,DownTrend,,,,Yes,Yes,,,
59,ATUL,8694.0,,,,,DownTrend,Yes,,,,,Yes,,
60,AUBANK,649.0,,,,,UpTrend,Yes,,,,Yes,,,
61,AUROPHARMA,465.0,,,,,DownTrend,,,,,,,,
62,AUTOAXLES,1935.0,,,,,DownTrend,Yes,,,,,Yes,,
63,AVANTIFEED,401.0,,,,,DownTrend,Yes,,,,,Yes,,
64,AWL,648.0,,,,,DownTrend,,,,,Yes,,,
65,AXISBANK,904.0,,,,,DownTrend,Yes,,,,,Yes,,
66,BAJAJ-AUTO,3694.0,,,,,DownTrend,,,,Yes,,Yes,,
67,BAJAJCON,178.0,,,,Yes,UpTrend,,Yes,189,,Yes,,,Yes wait for breakout of resistance => 178.85000610351562
68,BAJAJELEC,1116.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
69,BAJAJFINSV,1635.0,,,,,DownTrend,,,,,,,,
70,BAJAJHIND,16.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
71,BAJAJHLDNG,6185.0,,,,,DownTrend,Yes,,,,,,,
72,BAJFINANCE,6698.0,,,,,DownTrend,,,,,,,,
73,BALAMINES,2889.0,,,,,DownTrend,Yes,,,,,Yes,,
74,BALKRISIND,2063.0,,,,,DownTrend,Yes,,,,,Yes,,
75,BALMLAWRIE,122.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
76,BALRAMCHIN,380.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
77,BANDHANBNK,244.0,,,,,DownTrend,,Yes,21,,,Yes,,
78,BANKBARODA,174.0,,,,,DownTrend,,Yes,1008,,Yes,,,
79,BANKINDIA,90.0,,,,,DownTrend,,Yes,756,,Yes,,,
80,BARBEQUE,1038.0,,,,,DownTrend,Yes,,,,,,,
81,BASF,2728.0,,,,,DownTrend,,Yes,,,Yes,,,
82,BATAINDIA,1714.0,,,,,UpTrend,,,,,,Yes,,
