,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone
0,3MINDIA,10545.0,21602.0,No,Yes,No,Yes,,,
1,AARTIDRUGS,42245.0,449.0,No,No,No,,,,
2,AAVAS,63009.0,1798.0,No,No,No,Yes,,,
3,ABB,155369.0,2689.0,Yes,No,No,Yes,,,
4,ABBOTINDIA,37179.0,21680.0,No,Yes,Yes,Yes,,,Yes
5,ABCAPITAL,7138645.0,154.0,No,No,No,Yes,,,
6,ABFRL,912860.0,285.0,No,No,No,Yes,,,
7,ABSLAMC,38914.0,457.0,No,No,Yes,Yes,,,Yes
8,ACC,356578.0,2442.0,No,Yes,Yes,Yes,,,
9,ACCELYA,22579.0,1411.0,No,Yes,No,Yes,,,
10,ACE,537971.0,310.0,No,No,No,Yes,,,Yes
11,ADANIENT,799549.0,3830.0,Yes,Yes,No,Yes,,,
12,ADANIGREEN,813707.0,1892.0,Yes,No,No,Yes,,,
13,ADANIPORTS,2073117.0,820.0,No,No,No,Yes,,,
14,ADANITRANS,441126.0,2576.0,Yes,No,No,Yes,,,
15,ADVENZYMES,41961.0,284.0,No,No,No,Yes,,,Yes
16,AEGISCHEM,277148.0,344.0,No,Yes,Yes,Yes,,,
17,AETHER,78968.0,849.0,,No,No,Yes,,,Yes
18,AFFLE,82310.0,1072.0,No,No,No,Yes,,,
19,AGI,105480.0,329.0,No,No,No,Yes,,,
20,AHLUCONT,72480.0,508.0,No,No,Yes,Yes,,,
21,AIAENG,38455.0,2600.0,Yes,Yes,No,Yes,,,Yes
22,AJANTPHARM,102012.0,1200.0,No,No,No,Yes,,,
23,AKZOINDIA,6049.0,2240.0,No,Yes,No,,,,Yes
24,ALEMBICLTD,167786.0,72.0,No,No,No,,,,Yes
25,ALKEM,39742.0,3028.0,No,No,No,,,,
26,ALKYLAMINE,23511.0,2686.0,No,No,No,Yes,,,
27,ALOKINDS,1019791.0,15.0,No,No,No,Yes,,,Yes
28,AMARAJABAT,595448.0,575.0,No,Yes,No,Yes,,,Yes
29,AMBER,94432.0,1872.0,No,No,No,Yes,,,
30,AMBUJACEM,3246871.0,530.0,No,Yes,No,Yes,,,Yes
31,AMIORG,30765.0,959.0,No,No,Yes,,,,
32,AMRUTANJAN,21868.0,725.0,No,No,No,,Yes,21,Yes
33,ANANDRATHI,19256.0,704.0,No,No,No,,Yes,,Yes
34,ANANTRAJ,3309963.0,109.0,No,No,No,Yes,,,
35,ANDHRSUGAR,161088.0,134.0,No,No,No,Yes,,,Yes
36,ANGELONE,210699.0,1315.0,Yes,No,No,Yes,,,
37,ANURAS,18733.0,693.0,No,No,No,Yes,,,Yes
38,APARINDS,70499.0,1788.0,Yes,Yes,Yes,Yes,,,
39,APCOTEXIND,16819.0,468.0,No,No,No,Yes,,,Yes
40,APLAPOLLO,259696.0,1088.0,No,Yes,No,Yes,,,
41,APLLTD,56963.0,573.0,No,No,No,,,,
42,APOLLOHOSP,430067.0,4490.0,No,Yes,Yes,Yes,,,
43,APOLLOPIPE,20056.0,509.0,No,No,Yes,Yes,,,
44,APOLLOTYRE,3035869.0,325.0,No,No,Yes,Yes,,,
45,APTUS,43194.0,305.0,No,No,No,Yes,,,
46,ARVIND,1037841.0,90.0,No,No,No,Yes,,,
47,ARVINDFASN,100630.0,345.0,No,No,No,Yes,,,
48,ASAHIINDIA,59912.0,517.0,No,No,No,Yes,,,
49,ASHOKA,1184649.0,91.0,No,No,No,,Yes,63,
50,ASHOKLEY,7883974.0,147.0,No,No,No,Yes,,,
51,ASIANPAINT,859905.0,3028.0,No,No,No,,,,
52,ASTEC,16510.0,1789.0,Yes,Yes,No,Yes,,,
53,ASTERDM,233186.0,233.0,No,No,No,Yes,,,
54,ASTRAL,547164.0,2007.0,No,No,Yes,Yes,,,
55,ASTRAMICRO,236877.0,287.0,No,No,No,Yes,,,
56,ASTRAZEN,2041.0,3353.0,No,Yes,Yes,Yes,,,Yes
57,ATGL,306898.0,3598.0,Yes,Yes,No,Yes,,,
58,ATUL,32823.0,8173.0,No,No,No,Yes,,,
59,AUBANK,1288391.0,651.0,No,No,Yes,,,,
60,AUROPHARMA,1449457.0,441.0,No,No,No,,,,
61,AUTOAXLES,6297.0,2004.0,Yes,No,No,Yes,,,
62,AVANTIFEED,77822.0,390.0,No,No,No,Yes,,,
63,AWL,1215566.0,600.0,No,No,No,Yes,,,
64,AXISBANK,6925831.0,962.0,No,Yes,Yes,,Yes,2510,
65,BAJAJ-AUTO,218989.0,3601.0,Yes,No,No,,,,
66,BAJAJCON,224796.0,171.0,No,No,No,Yes,,,Yes
67,BAJAJELEC,36517.0,1182.0,No,No,Yes,Yes,,,
68,BAJAJFINSV,1306159.0,1563.0,No,No,No,Yes,,,Yes
69,BAJAJHIND,8580036.0,16.0,No,No,No,Yes,,,
70,BAJAJHLDNG,52152.0,5660.0,Yes,Yes,No,Yes,,,
71,BAJFINANCE,741605.0,6606.0,No,No,No,,,,
72,BALAMINES,44868.0,2636.0,No,No,No,Yes,,,
73,BALKRISIND,241816.0,2129.0,No,Yes,Yes,,,,
74,BALMLAWRIE,234438.0,124.0,No,No,No,Yes,,,
75,BALRAMCHIN,2225504.0,402.0,No,No,Yes,Yes,,,Yes
76,BANDHANBNK,6269947.0,240.0,No,No,No,Yes,,,
77,BANKBARODA,19753217.0,187.0,No,No,No,,,,Yes
78,BANKINDIA,28812391.0,93.0,No,No,No,Yes,,,
79,BARBEQUE,16544.0,976.0,No,No,No,Yes,,,
80,BASF,7801.0,2777.0,No,No,Yes,,,,
81,BATAINDIA,204733.0,1645.0,No,No,No,,,,
