,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
0,3MINDIA,10545.0,21602.0,,,,,,
1,AARTIDRUGS,42245.0,449.0,,,,,,
2,AAVAS,63009.0,1798.0,,,,,,
3,ABB,155369.0,2689.0,,,,,,
4,ABBOTINDIA,37179.0,21680.0,,,,,,False
5,ABCAPITAL,7138645.0,154.0,,,,,,
6,ABFRL,912860.0,285.0,,,,,,
7,ABSLAMC,38914.0,457.0,,,,,,
8,ACC,356578.0,2442.0,,,,,,False
9,ACCELYA,22579.0,1411.0,,,,,,
10,ACE,537971.0,310.0,,,,,,
11,ADANIENT,799549.0,3830.0,,,,,,
12,ADANIGREEN,813707.0,1892.0,,,,,,
13,ADANIPORTS,2073117.0,820.0,,,,,,
14,ADANITRANS,441126.0,2576.0,,,,,,
15,ADVENZYMES,41961.0,284.0,,,,,,
16,AEGISCHEM,277148.0,344.0,,,,,,False
17,AETHER,78968.0,849.0,,,,,,
18,AFFLE,82310.0,1072.0,,,,,,
19,AGI,105480.0,329.0,,,,,,
20,AHLUCONT,72480.0,508.0,,,,,,
21,AIAENG,38455.0,2600.0,,,,,,
22,AJANTPHARM,102012.0,1200.0,,,,,,
23,AKZOINDIA,6049.0,2240.0,,,,,,
24,ALEMBICLTD,167786.0,72.0,,,,,,
25,ALKEM,39742.0,3028.0,,,,,,
26,ALKYLAMINE,23511.0,2686.0,,,,,,
27,ALOKINDS,1019791.0,15.0,,,,,,
28,AMARAJABAT,595448.0,575.0,,,,,,
29,AMBER,94432.0,1872.0,,,,,,
30,AMBUJACEM,3246871.0,530.0,,,,,,
31,AMIORG,30765.0,959.0,,,,,,
32,AMRUTANJAN,21868.0,725.0,,,,,,
33,ANANDRATHI,19256.0,704.0,,,,,,
34,ANANTRAJ,3309963.0,109.0,,,,,,
35,ANDHRSUGAR,161088.0,134.0,,,,,,
36,ANGELONE,210699.0,1315.0,,,,,,
37,ANURAS,18733.0,693.0,,,,,,
38,APARINDS,70499.0,1788.0,,,,,,False
39,APCOTEXIND,16819.0,468.0,,,,,,
40,APLAPOLLO,259696.0,1088.0,,,,,,
41,APLLTD,56963.0,573.0,,,,,,
