,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout
0,3MINDIA,10545.0,21602.0,No,Yes,No,,,,,,,,Yes,,Before wait for breakout of resistance => 22663,,,Yes
1,AARTIDRUGS,42245.0,449.0,No,No,No,,,,,,,,,,,,,
2,AAVAS,63009.0,1798.0,No,No,No,,,,,,,,,,,,,
3,ABB,155369.0,2689.0,Yes,No,No,,,,,,,,,,,,,Yes
4,ABBOTINDIA,37179.0,21680.0,No,Yes,Yes,,,,,,,Yes,,,,,,
5,ABCAPITAL,7138645.0,154.0,No,No,No,,,,,,,Yes,,,,,,
6,ABFRL,912860.0,285.0,No,No,No,,,,,,,,,,,,,
7,ABSLAMC,38914.0,457.0,No,No,Yes,,,,,,,,Yes,,,,,
8,ACC,356578.0,2442.0,No,Yes,Yes,,,,,,,,Yes,,,,,Yes
9,ACCELYA,22579.0,1411.0,No,Yes,No,,,,,,,,,,,,,
10,ACE,537971.0,310.0,No,No,No,,,,,,,,Yes,,,,,
11,ADANIENT,799549.0,3830.0,Yes,Yes,No,,,,,,,,,,,,,
12,ADANIGREEN,813707.0,1892.0,Yes,No,No,,,,,,,,Yes,,,21,,
13,ADANIPORTS,2073117.0,820.0,No,No,No,,,,,,,,,,,,,
14,ADANITRANS,441126.0,2576.0,Yes,No,No,,,,,,,,,,,,,Yes
15,ADVENZYMES,41961.0,284.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 307,,,
16,AEGISCHEM,277148.0,344.0,No,Yes,Yes,,,,,,,,,,,,,
17,AETHER,78968.0,849.0,,No,No,,,,,,,,Yes,,,,,
18,AFFLE,82310.0,1072.0,No,No,No,,,,,,,,,,,,,
19,AGI,105480.0,329.0,No,No,No,,,,,,,,Yes,,,,,Yes
