,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
0,3MINDIA,10545.0,21602.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 22663,,,Yes,,CMO less than -25 Sell Signal 
1,AARTIDRUGS,42245.0,449.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,
2,AAVAS,63009.0,1798.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
3,ABB,155369.0,2689.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
4,ABBOTINDIA,37179.0,21680.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,Yes,Yes,,,,,,,False,CMO greater than 25 Buy Signal 
5,ABCAPITAL,7138645.0,154.0,,,,,,No,No,No,No,DownTrend,Yes,,,,Yes,,,,,,,,
6,ABFRL,912860.0,285.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
7,ABSLAMC,38914.0,457.0,,,,,,No,No,Yes,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
8,ACC,356578.0,2442.0,,,,,,No,Yes,Yes,,DownTrend,Yes,,,,,Yes,,,,,Yes,False,CMO less than -25 Sell Signal 
9,ACCELYA,22579.0,1411.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,
10,ACE,537971.0,310.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,Yes,,,,,,,
11,ADANIENT,799549.0,3830.0,,,,,,Yes,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
12,ADANIGREEN,813707.0,1892.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,Yes,,,21,,,,CMO less than -25 Sell Signal 
13,ADANIPORTS,2073117.0,820.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
14,ADANITRANS,441126.0,2576.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
15,ADVENZYMES,41961.0,284.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,Before wait for breakout of resistance => 307,,,,,CMO less than -25 Sell Signal 
16,AEGISCHEM,277148.0,344.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,,,,,,,False,
17,AETHER,78968.0,849.0,,,,,,,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,CMO less than -25 Sell Signal 
18,AFFLE,82310.0,1072.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
19,AGI,105480.0,329.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,
20,AHLUCONT,72480.0,508.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 518,,,,,
21,AIAENG,38455.0,2600.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
22,AJANTPHARM,102012.0,1200.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 1227,,,,,
23,AKZOINDIA,6049.0,2240.0,,,,,,No,Yes,No,No,DownTrend,,,,Yes,,Yes,,,,,,,
24,ALEMBICLTD,167786.0,72.0,,,,,,No,No,No,,DownTrend,,,,Yes,,,,,,,,,
25,ALKEM,39742.0,3028.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,Yes,,
26,ALKYLAMINE,23511.0,2686.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
27,ALOKINDS,1019791.0,15.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
28,AMARAJABAT,595448.0,575.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
29,AMBER,94432.0,1872.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 2011,,Yes,,,CMO less than -25 Sell Signal 
30,AMBUJACEM,3246871.0,530.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,Yes,,,,,,,,,
31,AMIORG,30765.0,959.0,,,,,,No,No,Yes,,DownTrend,,,,,,,,Before wait for breakout of resistance => 1000,,,,,
32,AMRUTANJAN,21868.0,725.0,,,,,,No,No,No,,DownTrend,,Yes,21,Yes,Yes,,,,21,,,,CMO > 25 and < 30 Strong Buy Signal => 28.865952352736986
33,ANANDRATHI,19256.0,704.0,,,,,,No,No,No,No,DownTrend,,Yes,,Yes,,Yes,,,21,,,,CMO greater than 25 Buy Signal 
34,ANANTRAJ,3309963.0,109.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
35,ANDHRSUGAR,161088.0,134.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,Before wait for breakout of resistance => 139,,,,,
36,ANGELONE,210699.0,1315.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,
37,ANURAS,18733.0,693.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
38,APARINDS,70499.0,1788.0,,,,,,Yes,Yes,Yes,No,UpTrend,Yes,,,,,Yes,,,,,,False,
39,APCOTEXIND,16819.0,468.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
40,APLAPOLLO,259696.0,1088.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,
41,APLLTD,56963.0,573.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,Yes,,
42,APOLLOHOSP,430067.0,4490.0,,"Bullish TrustingLine pattern ... 
 Entry on current Close and exit on next 5th candle close 
stop_loss only on days close = 4454.35",,,,No,Yes,Yes,,DownTrend,Yes,,,,,Yes,,,,,Yes,False,
43,APOLLOPIPE,20056.0,509.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 544,,,,,
44,APOLLOTYRE,3035869.0,325.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,,,,,,
45,APTUS,43194.0,305.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
46,ARVIND,1037841.0,90.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
47,ARVINDFASN,100630.0,345.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,
48,ASAHIINDIA,59912.0,517.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
49,ASHOKA,1184649.0,91.0,,,,,,No,No,No,Yes,DownTrend,,Yes,63,,,Yes,,,63,,,,CMO greater than 25 Buy Signal 
50,ASHOKLEY,7883974.0,147.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
51,ASIANPAINT,859905.0,3028.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,Yes,,,
52,ASTEC,16510.0,1789.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,Yes,,,,,,,,
53,ASTERDM,233186.0,233.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
54,ASTRAL,547164.0,2007.0,,"Bullish TrustingLine pattern ... 
 Entry on current Close and exit on next 5th candle close 
stop_loss only on days close = 1963.1",,,,No,No,Yes,,DownTrend,Yes,,,,Yes,,,,,,Yes,,
55,ASTRAMICRO,236877.0,287.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
56,ASTRAZEN,2041.0,3353.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,Yes,,,,Before wait for breakout of resistance => 3561,,,,False,
57,ATGL,306898.0,3598.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
58,ATUL,32823.0,8173.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
