,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
0,ABCAPITAL,7138645.0,154.0,No,No,No,Yes,,,Yes,,,,,
1,ABFRL,912860.0,285.0,No,No,No,Yes,,,,,,,,
2,ACE,537971.0,310.0,No,No,No,Yes,,,,Yes,,,,Yes
3,ADANIENT,799549.0,3830.0,Yes,Yes,No,Yes,,,,,,,,
4,ADANIGREEN,813707.0,1892.0,Yes,No,No,Yes,,,,Yes,21,,,
5,ADANIPORTS,2073117.0,820.0,No,No,No,Yes,,,,,,,,
6,ADANITRANS,441126.0,2576.0,Yes,No,No,Yes,,,,,,,,
7,AEGISCHEM,277148.0,344.0,No,Yes,Yes,Yes,,,,,,,,
8,ALOKINDS,1019791.0,15.0,No,No,No,Yes,,,,,,,,Yes
9,AMARAJABAT,595448.0,575.0,No,Yes,No,Yes,,,,,,,,Yes
10,AMBUJACEM,3246871.0,530.0,No,Yes,No,Yes,,,,,,,,Yes
11,ANANTRAJ,3309963.0,109.0,No,No,No,Yes,,,,Yes,,,,
12,APOLLOTYRE,3035869.0,325.0,No,No,Yes,Yes,,,Yes,,,,,
13,ARVIND,1037841.0,90.0,No,No,No,Yes,,,,Yes,,,,
14,ASHOKA,1184649.0,91.0,No,No,No,,Yes,63,,Yes,63,,,
15,ASHOKLEY,7883974.0,147.0,No,No,No,Yes,,,,Yes,,,,
16,ASIANPAINT,859905.0,3028.0,No,No,No,,,,,Yes,,Yes,,
17,ASTRAMICRO,236877.0,287.0,No,No,No,Yes,,,,Yes,,,,
18,AUBANK,1288391.0,651.0,No,No,Yes,,,,,,,,,
19,AUROPHARMA,1449457.0,441.0,No,No,No,,,,,Yes,,,,
20,AWL,1215566.0,600.0,No,No,No,Yes,,,,Yes,,,,
21,AXISBANK,6925831.0,962.0,No,Yes,Yes,,Yes,2510,Yes,,,,,
22,BAJAJFINSV,1306159.0,1563.0,No,No,No,Yes,,,,,,,,Yes
23,BAJAJHIND,8580036.0,16.0,No,No,No,Yes,,,,,,,,
24,BAJFINANCE,741605.0,6606.0,No,No,No,,,,,Yes,,,,
25,BALRAMCHIN,2225504.0,402.0,No,No,Yes,Yes,,,,Yes,,,,Yes
26,BANDHANBNK,6269947.0,240.0,No,No,No,Yes,,,,,,,,
27,BANKBARODA,19753217.0,187.0,No,No,No,,,,,Yes,63,,,Yes
28,BANKINDIA,28812391.0,93.0,No,No,No,Yes,,,,Yes,,,,
29,BCG,52086289.0,28.0,No,No,No,Yes,,,,Yes,,,,
30,BDL,246575.0,944.0,Yes,Yes,No,Yes,,,,Yes,,,,
31,BEL,8833451.0,100.0,No,No,No,Yes,,,,,,,,Yes
32,BEPL,9534822.0,121.0,No,No,No,,Yes,63,Yes,,63,,,
33,BERGEPAINT,333536.0,579.0,No,No,No,,,,,,,,,
34,BHARATFORG,473048.0,878.0,No,Yes,Yes,Yes,,,,,,,,
35,BHARTIARTL,1717487.0,817.0,No,Yes,No,,,,,,,,,Yes
36,BHEL,14554865.0,80.0,No,No,No,Yes,,,,,,,,Yes
37,BIOCON,1276513.0,263.0,No,No,No,,,,,,,,,
38,BLS,605025.0,171.0,No,No,No,Yes,,,,,,,,
39,BOMDYEING,757360.0,80.0,No,No,No,Yes,,,,,,,,Yes
40,BPCL,2631494.0,336.0,No,No,No,Yes,,,,Yes,,,,Yes
41,BSE,419224.0,565.0,No,No,No,Yes,,,,Yes,,,,Yes
42,BSOFT,2514659.0,299.0,No,No,No,Yes,,,Yes,,,,,
43,CANBK,11332429.0,336.0,No,Yes,No,,Yes,1008,Yes,,63,,,
44,CANFINHOME,500175.0,548.0,No,No,No,,Yes,,,Yes,63,,,Yes
45,CASTROLIND,304260.0,125.0,No,No,No,Yes,,,,,,,,
46,CENTRALBK,17751637.0,32.0,No,No,No,Yes,,,,,,,,Yes
47,CESC,1279369.0,77.0,No,No,No,Yes,,,,,,,,
48,CGPOWER,752762.0,274.0,No,No,No,Yes,,,,Yes,,,,Yes
49,CHAMBLFERT,782245.0,314.0,No,No,No,Yes,,,,Yes,63,,,Yes
50,CHENNPETRO,640343.0,208.0,No,No,No,Yes,,,,,,,,
51,CHOLAFIN,572611.0,728.0,No,No,No,Yes,,,,,,,,
52,CIPLA,952186.0,1075.0,No,No,No,Yes,,,,,,,,
53,COALINDIA,3639237.0,224.0,No,No,No,Yes,,,,,,,,
54,COCHINSHIP,1849378.0,534.0,No,Yes,No,Yes,,,,Yes,,,,
55,CONCOR,938716.0,744.0,No,Yes,No,Yes,,,Yes,,,,,Yes
56,CONFIPET,2903114.0,81.0,No,No,No,Yes,,,Yes,,,,,Yes
57,COROMANDEL,335342.0,900.0,No,No,No,Yes,,,,,,,,Yes
58,CROMPTON,728383.0,347.0,No,No,No,,,,,Yes,,,,Yes
59,CSBBANK,7945756.0,251.0,No,No,Yes,Yes,,,Yes,,63,,,Yes
60,CUB,1748655.0,178.0,No,No,No,Yes,,,,,,,,
61,DAAWAT,1840762.0,119.0,No,No,No,Yes,,,Yes,,63,,,Yes
62,DABUR,904002.0,560.0,No,No,No,,,,,,,,,
63,DBL,1885371.0,223.0,No,No,No,Yes,,,,Yes,63,,,
64,DCAL,723630.0,94.0,No,No,No,Yes,,,Yes,,,,,
65,DCBBANK,2254201.0,130.0,No,No,No,Yes,,,Yes,,,,,Yes
66,DEEPAKFERT,338323.0,693.0,Yes,No,No,Yes,,,,,,,,
67,DELHIVERY,336541.0,337.0,,No,No,Yes,,,,,,,,Yes
68,DELTACORP,1761768.0,216.0,No,No,No,Yes,,,,Yes,,,,Yes
69,DEN,790527.0,35.0,No,No,No,Yes,,,,,,,,
70,DEVYANI,807308.0,177.0,No,No,No,Yes,,,,,,,,
71,DHANI,1909387.0,40.0,No,No,No,Yes,,,,,,,,
72,DISHTV,6908590.0,18.0,No,No,No,Yes,,,,,,,,Yes
73,DIVISLAB,244582.0,3393.0,No,No,Yes,Yes,,,,,,,,
74,DLF,2002727.0,380.0,No,No,No,Yes,,,,,,,,
75,DRREDDY,162147.0,4238.0,No,Yes,No,Yes,,,,,,,,
76,DWARKESH,2166452.0,105.0,No,No,No,Yes,,,,Yes,,,,
77,EASEMYTRIP,5275736.0,53.0,No,No,No,Yes,,,,,,,,
78,EDELWEISS,1219959.0,64.0,No,No,No,Yes,,,,,,,,
79,EICHERMOT,323223.0,3213.0,Yes,No,No,Yes,,,,,,,,
80,EIHOTEL,314279.0,179.0,No,No,No,Yes,,,,Yes,,,,
81,EKC,401557.0,100.0,No,No,No,Yes,,,,Yes,,,,
82,ELECTCAST,1281589.0,39.0,No,No,No,Yes,,,Yes,,,,,
83,ENGINERSIN,2027041.0,80.0,No,No,No,Yes,,,,Yes,,,,Yes
84,EPL,168255.0,169.0,No,No,No,Yes,,,,,,,,
85,EQUITASBNK,2476344.0,59.0,No,No,No,Yes,,,,Yes,,,,
86,EXIDEIND,1729288.0,180.0,No,No,No,Yes,,,,,,,,
87,FACT,1333036.0,337.0,No,Yes,Yes,Yes,,,,Yes,,,,
88,FCL,267839.0,252.0,No,No,No,Yes,,,,,,,,
89,FEDERALBNK,24554724.0,137.0,No,No,No,Yes,,,Yes,,63,,,
90,FILATEX,214079.0,45.0,No,No,No,Yes,,,,,,,,
91,FINPIPE,816028.0,188.0,No,No,Yes,Yes,,,,Yes,63,,,Yes
92,FORTIS,280765.0,283.0,No,No,No,,,,,Yes,,,,
93,FSL,825496.0,103.0,No,No,No,Yes,,,,,,,,Yes
94,GABRIEL,318032.0,190.0,No,No,No,Yes,,,,Yes,,,,Yes
95,GAIL,6050701.0,96.0,No,No,No,Yes,,,,Yes,,,,Yes
96,GATI,246490.0,143.0,No,No,No,Yes,,,,,,,,
97,GICRE,8723871.0,196.0,No,No,Yes,,Yes,252,,Yes,63,,,
98,GLENMARK,735382.0,434.0,No,No,No,Yes,,,,Yes,,,,
99,GMDCLTD,1049264.0,151.0,No,No,No,Yes,,,,Yes,,,,
100,GMMPFAUDLR,254010.0,1601.0,No,No,No,Yes,,,,,,,,Yes
101,GMRINFRA,6123079.0,40.0,No,No,No,Yes,,,,,,,,Yes
102,GNFC,749246.0,567.0,Yes,No,No,Yes,,,,Yes,,,,Yes
103,GODREJCP,910243.0,892.0,No,No,Yes,,,,Yes,,,,,
104,GPIL,1139704.0,409.0,No,No,Yes,,Yes,126,Yes,,63,,,
105,GPPL,3493525.0,104.0,No,No,No,,Yes,252,,Yes,63,,,
106,GRANULES,1639085.0,326.0,No,No,No,Yes,,,,Yes,,,,Yes
107,GREAVESCOT,852027.0,137.0,No,No,No,Yes,,,,Yes,,,,
108,GRSE,1734760.0,492.0,No,Yes,No,Yes,,,Yes,,,,,
109,GSFC,2252791.0,139.0,No,No,No,Yes,,,,Yes,,,,
110,GSPL,286139.0,272.0,No,No,No,Yes,,,,Yes,,,,Yes
111,GTLINFRA,10357178.0,1.0,No,No,No,Yes,,,,,,,,
112,GUJGASLTD,866133.0,490.0,No,No,No,Yes,,,,,,,,Yes
113,HAL,554863.0,2539.0,Yes,Yes,No,Yes,,,,,,,,
114,HATHWAY,2313547.0,17.0,No,No,No,Yes,,,,,,,,
115,HAVELLS,998602.0,1127.0,No,No,No,Yes,,,,Yes,,,,Yes
