,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
0,ABCAPITAL,7138645.0,154.0,,,,,,
1,ABFRL,912860.0,285.0,,,,,,
2,ACE,537971.0,310.0,,,,,,
3,ADANIENT,799549.0,3830.0,,,,,,
4,ADANIGREEN,813707.0,1892.0,,,,,,
5,ADANIPORTS,2073117.0,820.0,,,,,,
6,ADANITRANS,441126.0,2576.0,,,,,,
7,AEGISCHEM,277148.0,344.0,,,,,,False
8,ALOKINDS,1019791.0,15.0,,,,,,
9,AMARAJABAT,595448.0,575.0,,,,,,
10,AMBUJACEM,3246871.0,530.0,,,,,,
11,ANANTRAJ,3309963.0,109.0,,,,,,
12,APOLLOTYRE,3035869.0,325.0,,,,,,
13,ARVIND,1037841.0,90.0,,,,,,
14,ASHOKA,1184649.0,91.0,,,,,,
15,ASHOKLEY,7883974.0,147.0,,,,,,
16,ASIANPAINT,859905.0,3028.0,,,,,,
17,ASTRAMICRO,236877.0,287.0,,,,,,
18,AUBANK,1288391.0,651.0,,,,,,
19,AUROPHARMA,1449457.0,441.0,,,,,,
20,AWL,1215566.0,600.0,,,,,,
21,AXISBANK,6925831.0,962.0,,,,,,False
22,BAJAJFINSV,1306159.0,1563.0,,,,,,
23,BAJAJHIND,8580036.0,16.0,,,,,,
24,BAJFINANCE,741605.0,6606.0,,,,,,
25,BALRAMCHIN,2225504.0,402.0,,,,,,
26,BANDHANBNK,6269947.0,240.0,,,,,,
27,BANKBARODA,19753217.0,187.0,,,,,,
28,BANKINDIA,28812391.0,93.0,,,,,,
29,BCG,52086289.0,28.0,,,,,,
30,BDL,246575.0,944.0,,,,,,
31,BEL,8833451.0,100.0,,,,,,
32,BEPL,9534822.0,121.0,,,,,,
33,BERGEPAINT,333536.0,579.0,,,,,,
34,BHARATFORG,473048.0,878.0,,,,,,False
35,BHARTIARTL,1717487.0,817.0,,,,,,
36,BHEL,14554865.0,80.0,,,,,,
37,BIOCON,1276513.0,263.0,,,,,,
38,BLS,605025.0,171.0,,,,,,
39,BOMDYEING,757360.0,80.0,,,,,,
40,BPCL,2631494.0,336.0,,,,,,
41,BSE,419224.0,565.0,,,,,,
42,BSOFT,2514659.0,299.0,,,,,,
43,CANBK,11332429.0,336.0,,,,,,
44,CANFINHOME,500175.0,548.0,,,,,,
45,CASTROLIND,304260.0,125.0,,,,,,
46,CENTRALBK,17751637.0,32.0,,,,,,
47,CESC,1279369.0,77.0,,,,,,
