,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone,SellingClimax,PickVolumeBreakout
0,ABCAPITAL,7138645,154,No,No,No,,,,,,Yes,,,,,,,
1,ABFRL,912860,285,No,No,No,,,,,,,,,,,,,
2,ACE,537971,310,No,No,No,,,,,,,Yes,,,,,,
3,ADANIENT,799549,3830,Yes,Yes,No,,,,,,,,,,,,,
4,ADANIGREEN,813707,1892,Yes,No,No,,,,,,,Yes,21,,,,,
5,ADANIPORTS,2073117,820,No,No,No,,,,,,,,,,,,,
169,JISLJALEQS,1127306,33,No,No,No,,,,,,,,,,Yes,,,
7,AEGISCHEM,277148,344,No,Yes,Yes,,,,,,,,,,,,,
8,ALOKINDS,1019791,15,No,No,No,,,,,,,,,,,,,
9,AMARAJABAT,595448,575,No,Yes,No,,,,,,,,,,,,,
10,AMBUJACEM,3246871,530,No,Yes,No,,,,,,,,,,,,,
11,ANANTRAJ,3309963,109,No,No,No,,,,,,,Yes,,,,,,
12,APOLLOTYRE,3035869,325,No,No,Yes,,,,,,Yes,,,,,,,
13,ARVIND,1037841,90,No,No,No,,,,,,,Yes,,,,,,
14,ASHOKA,1184649,91,No,No,No,,,,,,,Yes,63,,,,,
15,ASHOKLEY,7883974,147,No,No,No,,,,,,,Yes,,,,,,
16,ASIANPAINT,859905,3028,No,No,No,,,,,,,Yes,,Yes,,,,
17,ASTRAMICRO,236877,287,No,No,No,,,,,,,Yes,,,,,,
18,AUBANK,1288391,651,No,No,Yes,,,,,,,,,,,,,
254,RENUKA,7947146,58,No,No,No,,,,,,,Yes,,,Yes,,,
20,AWL,1215566,600,No,No,No,,,,,,,Yes,,,,,,
21,AXISBANK,6925831,962,No,Yes,Yes,,,,,,Yes,,,,,,,
22,BAJAJFINSV,1306159,1563,No,No,No,,,,,,,,,,,,,
23,BAJAJHIND,8580036,16,No,No,No,,,,,,,,,,,,,
24,BAJFINANCE,741605,6606,No,No,No,,,,,,,Yes,,,,,,
25,BALRAMCHIN,2225504,402,No,No,Yes,,,,,,,Yes,,,,,,
26,BANDHANBNK,6269947,240,No,No,No,,,,,,,,,,,,,
